"time","S","I","R"
0,999,1,0
1,998.897568660866,1.05116176723356,0.051269571899943
2,998.78991408397,1.1049267523145,0.105159163715663
3,998.676762556272,1.16143075843122,0.161806685296991
4,998.557838578565,1.22081040558376,0.221351015851623
5,998.432851681506,1.28320968065238,0.283938637841492
6,998.301494351205,1.34878093055327,0.349724718241459
7,998.163444084479,1.41768384414375,0.418872071377147
8,998.018362965669,1.49008565113107,0.491551383199771
9,997.865896356849,1.56616175327471,0.567941889876188
10,997.705671933544,1.64609618465807,0.64823188179806
11,997.537299055233,1.73008190762144,0.732619037145297
12,997.360367756198,1.81832128923158,0.821310954570511
13,997.174447928933,1.91102648499365,0.91452558607401
14,996.979088388963,2.00841987684515,1.01249173419241
15,996.773815866344,2.11073454393378,1.11544958972227
16,996.55813399094,2.21821473401835,1.22365127504165
17,996.331522232332,2.33111635374435,1.337361413924
18,996.093434794567,2.4497074772262,1.45685772820682
19,995.843299471222,2.57426887026398,1.58243165851424
20,995.58051645639,2.70509453163453,1.71438901197602
21,995.304457110457,2.84249225151512,1.85305063802797
22,995.014462681267,2.98678418630821,1.99875313242477
23,994.709842980362,3.13830744946225,2.15184957017573
24,994.389875013484,3.2974147180239,2.31271026849263
25,994.053801565286,3.46447485426388,2.48172358045
26,993.700829738313,3.63987354160064,2.65929672008604
27,993.330129446486,3.82401393387495,2.84585661963883
28,992.940831863619,4.01731731682538,3.04185081955603
29,992.532027827749,4.22022378039515,3.24774839185555
30,992.102766202406,4.43319290025473,3.46404089733911
31,991.652052196273,4.65670442665392,3.69124337707368
32,991.178845643128,4.89125897841836,3.92989537845393
33,990.682059244381,5.13737873957734,4.18056201604143
34,990.160556777009,5.39560815574955,4.44383506724196
35,989.613151270251,5.66651462701995,4.72033410272891
36,989.038603155042,5.9506891936113,5.01070765134669
37,988.435618390782,6.24874721018644,5.31563439903185
38,987.802846574821,6.56132900411015,5.63582442106895
39,987.138879040798,6.88910051245052,5.97202044675091
40,986.442246952855,7.23275389190672,6.32499915523807
41,985.711419403683,7.59300809521303,6.69557250110389
42,984.9448015254,7.97060940688438,7.08458906771552
43,984.140732623339,8.36633193043757,7.492935446223
44,983.297484344039,8.78097801844323,7.9215376375179
45,982.413258889994,9.21537863593628,8.37136247406984
46,981.486187295108,9.67039364683864,8.84341905805377
47,980.514327776231,10.146912012128,9.33876021164105
48,979.495664177737,10.6458518875231,9.85848393473978
49,978.428104527715,11.1681606074515,10.4037348648338
50,977.309479726089,11.7148145410293,10.9757057328822
51,976.137542386789,12.2868188047104,11.5756388085003
52,974.909965857974,12.8852068151759,12.2048273268504
53,973.62434344625,13.5110396649303,12.8646168888196
54,972.278187872874,14.1654053019668,13.5564068251593
55,970.868930991922,14.8494174937774,14.281651514301
